,NAME (ARRIVAL),TRANSITION NAME,Trajectory
0,Zuuma Three,BURGL,"[[35.3958, -120.0628, 136], [35.172, -119.4927, 132], [34.5429, -119.2938, 133], [34.4426, -119.2058, 133], [34.0154, -118.5, 142]]"
1,Zuuma Three,REBRG,"[[35.5853, -119.3653, 185], [35.4001, -119.4358, 179], [35.172, -119.4927, 132], [34.5429, -119.2938, 133], [34.4426, -119.2058, 133], [34.0154, -118.5, 142]]"
2,WAYVE ONE,LAKE HUGHES,"[[34.3422, -118.3044, 142], [34.2948, -118.2804, 142], [34.2437, -118.2502, 143], [34.1233, -118.181, 140]]"
3,WAYVE ONE,LOPES,"[[35.0155, -118.4205, 152], [34.5036, -118.3803, 152], [34.4453, -118.36, 152], [34.3422, -118.3044, 142], [34.2948, -118.2804, 142], [34.2437, -118.2502, 143], [34.1233, -118.181, 140]]"
4,WAYVE ONE,SHAFTER,"[[35.0155, -118.4205, 152], [34.5036, -118.3803, 152], [34.4453, -118.36, 152], [34.3422, -118.3044, 142], [34.2948, -118.2804, 142], [34.2437, -118.2502, 143], [34.1233, -118.181, 140]]"
5,WAYVE ONE,TULE,"[[35.3047, -118.523, 151], [35.1102, -118.4519, 152], [35.0155, -118.4205, 152], [34.5036, -118.3803, 152], [34.4453, -118.36, 152], [34.3422, -118.3044, 142], [34.2948, -118.2804, 142], [34.2437, -118.2502, 143], [34.1233, -118.181, 140]]"
6,VISTA THREE,JULIAN,"[[33.14527778, -116.58777778, 288], [33.1309, -117.1404, 263], [33.1345, -117.191, 263], [33.24555556, -117.41833333, 259], [33.1558, -117.52, 328], [33.2302, -117.5433, 328], [33.275, -117.5618, 328], [33.3725, -117.5947, 328], [33.4212, -118.0132, 328], [33.78333333, -118.05805556, nan]]"
7,SNSTT TWO,,"[[32.4816, -115.5629, 289], [33.025, -116.254, 298], [33.1208, -116.3839, 328], [33.3115, -116.4649, 316], [33.4229, -116.5517, 287], [33.4811, -117.0727, 287], [33.5358, -117.1955, 287], [33.5821, -117.2919, 287]]"
8,SEAVU TWO,TWENTYNINE PALMS,"[[34.12027778, -115.77194444, 245], [34.002, -116.2854, 249], [33.5908, -116.4358, 249], [33.5715, -117.0642, 249], [33.5653, -117.1107, 249], [33.5608, -117.1958, 249], [33.5555, -117.2229, 278], [33.5821, -117.2919, 278]]"
9,SADDE EIGHT,AVENAL,"[[35.65611111, -119.98666667, 129], [35.1521, -119.3829, 129], [34.3931, -119.0804, 130], [34.36111111, -118.89111111, 148], [34.0954, -118.4839, 148], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
10,SADDE EIGHT,DERBB,"[[35.1521, -119.3829, 129], [34.3931, -119.0804, 130], [34.36111111, -118.89111111, 148], [34.0954, -118.4839, 148], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
11,SADDE EIGHT,DINTY,"[[33.2858, -122.3502, 53], [34.51583333, -119.77388889, 109], [34.125, -119.06027778, 93], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
12,SADDE EIGHT,ELKEY,"[[32.41, -122.0304, 46], [34.125, -119.06027778, 93], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
13,SADDE EIGHT,FILLMORE,"[[34.36111111, -118.89111111, 148], [34.0954, -118.4839, 148], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
14,SADDE EIGHT,PALMDALE,"[[34.64222222, -118.07305556, 251], [34.3436, -118.5219, 167], [34.36111111, -118.89111111, 148], [34.0954, -118.4839, 148], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
15,SADDE EIGHT,SAN MARCUS,"[[34.51583333, -119.77388889, 109], [34.125, -119.06027778, 93], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
16,SADDE EIGHT,VENTURA,"[[34.125, -119.06027778, 93], [34.022, -118.4553, 81], [34.0147, -118.3949, 81], [34.01694444, -118.46111111, 70]]"
17,RYDRR TWO,CERNL,"[[33.1642, -122.2538, 48], [34.0735, -120.3818, 64], [34.1131, -120.1908, 75], [34.1206, -120.0357, 79], [34.1128, -119.2134, 79], [34.111, -119.0347, 103], [34.0352, -118.4509, 103], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 66], [34.0138, -118.213, 71], [34.02, -118.1755, 71]]"
